mr,ref
"name[Blue Spice], eatType[coffee shop], area[city centre]",Blue Spice is a coffee shop near near . it has a customer rating of 1 out of 5 . it is located in the city centre . <end> 
"name[Blue Spice], eatType[coffee shop], area[city centre]",Blue Spice is a coffee shop near near . it has a customer rating of 1 out of 5 . it is located in the city centre . <end> 
"name[Blue Spice], eatType[coffee shop], area[riverside]",Blue Spice is a coffee shop near near . it has a customer rating of 3 out of 5 . <end> 
"name[Blue Spice], eatType[coffee shop], area[riverside]",Blue Spice is a coffee shop near near . it has a customer rating of 3 out of 5 . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",Blue Spice is a coffee shop near Crowne Plaza Hotel . it has a customer rating of 5 out of 5 . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",Blue Spice is a coffee shop near Crowne Plaza Hotel . it has a customer rating of 5 out of 5 . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",Blue Spice is a coffee shop near Crowne Plaza Hotel . it has a customer rating of 5 out of 5 . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near Burger King . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near Burger King . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near Burger King . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near Burger King . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near Burger King . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near Burger King . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near Burger King . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]",Blue Spice is a coffee shop near Crowne Plaza Hotel . it is located near Crowne Plaza Hotel . <end> 
"name[Blue Spice], eatType[pub], area[city centre]",Blue Spice is a coffee shop located in the city centre . <end> 
"name[Blue Spice], eatType[pub], area[city centre]",Blue Spice is a coffee shop located in the city centre . <end> 
"name[Blue Spice], eatType[pub], area[riverside]",Blue Spice is a coffee shop with a customer rating of 3 out of 5 . it is located in the city centre . <end> 
"name[Blue Spice], eatType[pub], area[riverside]",Blue Spice is a coffee shop with a customer rating of 3 out of 5 . it is located in the city centre . <end> 
