mr,ref
"name[X-name], area[city centre], familyFriendly[no]","There is a place in the city centre, X-name, that is not family-friendly."
"name[X-name], area[city centre], familyFriendly[no]","In the city centre there is a venue name X-name, this is not a family-friendly venue."
"name[X-name], area[city centre], familyFriendly[no]","X-name is not a family-friendly place, located in city centre."
"name[X-name], area[city centre], familyFriendly[no]",X-name is not a family-friendly arena and is located in the city centre.
"name[X-name], area[city centre], familyFriendly[no]",X-name is not a family-friendly place in the city centre.
"name[X-name], area[city centre], familyFriendly[no]",X-name in city centre is not a family-friendly place.
"name[X-name], area[city centre], familyFriendly[no], near[X-near]","X-name is not family-friendly, and is near the X-near in the city centre."
"name[X-name], area[city centre], familyFriendly[no], near[X-near]",Near X-near in city centre is the adult establishment X-name.
"name[X-name], area[city centre], familyFriendly[no], near[X-near]",X-name is not family-friendly. X-name is in the city center and it is near X-near.
"name[X-name], area[city centre], familyFriendly[no], near[X-near]",X-name is near X-near in the city center. X-name is not family-friendly.
"name[X-name], area[city centre], familyFriendly[no], near[X-near]","Near the X-near and in the city centre is X-name, which is not family-friendly."
"name[X-name], area[city centre], familyFriendly[no], near[X-near]",X-name is an adult establish found in the city centre area near X-near.
"name[X-name], area[city centre], familyFriendly[yes]",X-name is a family-friendly place in the city centre.
"name[X-name], area[city centre], familyFriendly[yes]",In the city centre there is a family-friendly place called X-name.
"name[X-name], area[city centre], familyFriendly[yes]",The city centre has a family-friendly restaurant named X-name.
"name[X-name], area[city centre], familyFriendly[yes]",X-name city centre is family-friendly
"name[X-name], area[city centre], familyFriendly[yes]",X-name is a family-friendly city centre.
"name[X-name], area[city centre], familyFriendly[yes]",There is a family-friendly restaurant named X-name in the city centre.
"name[X-name], area[city centre], familyFriendly[yes], near[X-near]",X-name is family oriented and located near X-near in the city centre.
"name[X-name], area[city centre], familyFriendly[yes], near[X-near]",The X-name is a family-friendly restaurant located in the city centre near X-near.
"name[X-name], area[city centre], familyFriendly[yes], near[X-near]","Located in the city centre near X-near, the X-name is a family-friendly restaurant."
"name[X-name], area[city centre], familyFriendly[yes], near[X-near]","X-name, located near X-near in the city centre, is family-friendly."
"name[X-name], area[city centre], familyFriendly[yes], near[X-near]","Located X-near in the city centre, X-name is family-friendly."
"name[X-name], area[city centre], familyFriendly[yes], near[X-near]",X-name is family-friendly and located in the city centre near X-near.
"name[X-name], area[riverside], familyFriendly[no]",X-name looks like a location where people or families aren't allowed
"name[X-name], area[riverside], familyFriendly[no]",X-name isn't family-friendly but it is in riverside.
"name[X-name], area[riverside], familyFriendly[no]","If you are searching for a place to go that's not family-friendly and near the riverside, X-name is the place for you."
"name[X-name], area[riverside], familyFriendly[no]",X-name is a family-friendly living in riverside.
"name[X-name], area[riverside], familyFriendly[no]",X-name is a family-friendly living in riverside.
"name[X-name], area[riverside], familyFriendly[no]","X-name, located on the river. No good for families."
"name[X-name], area[riverside], familyFriendly[no]","Riverside has X-name, which is not family-friendly."
"name[X-name], area[riverside], familyFriendly[no]",X-name is a not family-friendly place near the riverside.
"name[X-name], area[riverside], familyFriendly[no]","No good for families. X-name, close to the river."
"name[X-name], area[riverside], familyFriendly[no], near[X-near]",X-near is near the X-name which is not family friendly and located north of the City center.
