mr,ref
"name[X-name], eatType[coffee shop], area[city centre]",x name is a coffee shop in the city centre . <end> 
"name[X-name], eatType[coffee shop], area[city centre]",x name is a coffee shop in the city centre . <end> 
"name[X-name], eatType[coffee shop], area[riverside]",x name is a coffee shop in the riverside area . it is located in the riverside area . <end> 
"name[X-name], eatType[coffee shop], area[riverside]",x name is a coffee shop in the riverside area . it is located in the riverside area . <end> 
"name[X-name], eatType[coffee shop], customer rating[5 out of 5], near[X-near]",x name is a coffee shop near x near with a customer rating of 5 out of 5 . it has a customer rating of 5 out of 5 . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[5 out of 5], near[X-near]",x name is a coffee shop near x near with a customer rating of 5 out of 5 . it has a customer rating of 5 out of 5 . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[5 out of 5], near[X-near]",x name is a coffee shop near x near with a customer rating of 5 out of 5 . it has a customer rating of 5 out of 5 . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near the x near . it has an average customer rating . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near the x near . it has an average customer rating . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near the x near . it has an average customer rating . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near the x near . it has an average customer rating . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near the x near . it has an average customer rating . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near the x near . it has an average customer rating . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near the x near . it has an average customer rating . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near the x near . it has an average customer rating . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[pub], area[city centre]",x name in the city centre . <end> 
"name[X-name], eatType[pub], area[city centre]",x name in the city centre . <end> 
"name[X-name], eatType[pub], area[riverside]",x name is a pub located in the riverside area . it is located in the riverside area . <end> 
"name[X-name], eatType[pub], area[riverside]",x name is a pub located in the riverside area . it is located in the riverside area . <end> 
"name[X-name], eatType[pub], customer rating[5 out of 5], near[X-near]",x name is a pub near the x near . it has a customer rating of 5 out of 5 . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[5 out of 5], near[X-near]",x name is a pub near the x near . it has a customer rating of 5 out of 5 . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[5 out of 5], near[X-near]",x name is a pub near the x near . it has a customer rating of 5 out of 5 . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name near x near . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name near x near . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name near x near . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name near x near . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name near x near . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name near x near . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name near x near . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name near x near . it has an average customer rating . it is located near x near . <end> 
"name[X-name], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[X-near]",near the x near in the city centre near the city centre near the city centre near the x near . it is not family friendly . it is not family friendly . <end> 
"name[X-name], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[X-near]",near the x near in the city centre near the city centre near the city centre near the x near . it is not family friendly . it is not family friendly . <end> 
"name[X-name], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[X-near]",near the x near in the city centre near the city centre near the city centre near the x near . it is not family friendly . it is not family friendly . <end> 
"name[X-name], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[X-near]",near the x near in the city centre near the city centre near the city centre near the x near . it is not family friendly . it is not family friendly . <end> 
