mr,ref
"name[X-name], eatType[coffee shop], area[city centre]",x name is a coffee shop near x near . it has a customer rating of 1 out of 5 . it is located in the city centre . <end> 
"name[X-name], eatType[coffee shop], area[city centre]",x name is a coffee shop near x near . it has a customer rating of 1 out of 5 . it is located in the city centre . <end> 
"name[X-name], eatType[coffee shop], area[riverside]",x name is a coffee shop near x near . it has a customer rating of 3 out of 5 . <end> 
"name[X-name], eatType[coffee shop], area[riverside]",x name is a coffee shop near x near . it has a customer rating of 3 out of 5 . <end> 
"name[X-name], eatType[coffee shop], customer rating[5 out of 5], near[X-near]",x name is a coffee shop near x near . it has a customer rating of 5 out of 5 . <end> 
"name[X-name], eatType[coffee shop], customer rating[5 out of 5], near[X-near]",x name is a coffee shop near x near . it has a customer rating of 5 out of 5 . <end> 
"name[X-name], eatType[coffee shop], customer rating[5 out of 5], near[X-near]",x name is a coffee shop near x near . it has a customer rating of 5 out of 5 . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[coffee shop], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[pub], area[city centre]",x name is a coffee shop located in the city centre . <end> 
"name[X-name], eatType[pub], area[city centre]",x name is a coffee shop located in the city centre . <end> 
"name[X-name], eatType[pub], area[riverside]",x name is a coffee shop with a customer rating of 3 out of 5 . it is located in the city centre . <end> 
"name[X-name], eatType[pub], area[riverside]",x name is a coffee shop with a customer rating of 3 out of 5 . it is located in the city centre . <end> 
"name[X-name], eatType[pub], customer rating[5 out of 5], near[X-near]",x name is a coffee shop near x near . it has a customer rating of 5 out of 5 . <end> 
"name[X-name], eatType[pub], customer rating[5 out of 5], near[X-near]",x name is a coffee shop near x near . it has a customer rating of 5 out of 5 . <end> 
"name[X-name], eatType[pub], customer rating[5 out of 5], near[X-near]",x name is a coffee shop near x near . it has a customer rating of 5 out of 5 . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
"name[X-name], eatType[pub], customer rating[average], near[X-near]",x name is a coffee shop near x near . it is located near x near . <end> 
