mr,ref
"name[Blue Spice], eatType[coffee shop], area[city centre]",Blue Spice is a coffee shop in the city centre . <end> 
"name[Blue Spice], eatType[coffee shop], area[city centre]",Blue Spice is a coffee shop in the city centre . <end> 
"name[Blue Spice], eatType[coffee shop], area[riverside]",Blue Spice is a coffee shop in the riverside area . it is located in the riverside area . <end> 
"name[Blue Spice], eatType[coffee shop], area[riverside]",Blue Spice is a coffee shop in the riverside area . it is located in the riverside area . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5 . it has a customer rating of 5 out of 5 . it is located near Crowne Plaza Hotel . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5 . it has a customer rating of 5 out of 5 . it is located near Crowne Plaza Hotel . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",Blue Spice is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5 . it has a customer rating of 5 out of 5 . it is located near Crowne Plaza Hotel . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near the Burger King . it has an average customer rating . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near the Burger King . it has an average customer rating . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near the Burger King . it has an average customer rating . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near the Burger King . it has an average customer rating . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near the Burger King . it has an average customer rating . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near the Burger King . it has an average customer rating . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near the Burger King . it has an average customer rating . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]",Blue Spice is a coffee shop near the Crowne Plaza Hotel . it has an average customer rating . it has an average customer rating . it is located near Crowne Plaza Hotel . <end> 
"name[Blue Spice], eatType[pub], area[city centre]",Blue Spice in the city centre . <end> 
"name[Blue Spice], eatType[pub], area[city centre]",Blue Spice in the city centre . <end> 
"name[Blue Spice], eatType[pub], area[riverside]",Blue Spice is a pub located in the riverside area . it is located in the riverside area . <end> 
"name[Blue Spice], eatType[pub], area[riverside]",Blue Spice is a pub located in the riverside area . it is located in the riverside area . <end> 
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]",Blue Spice is a pub near the Crowne Plaza Hotel . it has a customer rating of 5 out of 5 . it is located near Crowne Plaza Hotel . <end> 
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]",Blue Spice is a pub near the Crowne Plaza Hotel . it has a customer rating of 5 out of 5 . it is located near Crowne Plaza Hotel . <end> 
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]",Blue Spice is a pub near the Crowne Plaza Hotel . it has a customer rating of 5 out of 5 . it is located near Crowne Plaza Hotel . <end> 
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Blue Spice near Burger King . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Blue Spice near Burger King . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Blue Spice near Burger King . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Blue Spice near Burger King . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Blue Spice near Burger King . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Blue Spice near Burger King . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Blue Spice near Burger King . it has an average customer rating . it is located near Burger King . <end> 
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]",Blue Spice near Crowne Plaza Hotel . it has an average customer rating . it is located near Crowne Plaza Hotel . <end> 
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",near the Rainbow Vegetarian Café in the city centre near the city centre near the city centre near the Rainbow Vegetarian Café . it is not family friendly . it is not family friendly . <end> 
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",near the Rainbow Vegetarian Café in the city centre near the city centre near the city centre near the Rainbow Vegetarian Café . it is not family friendly . it is not family friendly . <end> 
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",near the Rainbow Vegetarian Café in the city centre near the city centre near the city centre near the Rainbow Vegetarian Café . it is not family friendly . it is not family friendly . <end> 
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",near the Rainbow Vegetarian Café in the city centre near the city centre near the city centre near the Rainbow Vegetarian Café . it is not family friendly . it is not family friendly . <end> 
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",near the Rainbow Vegetarian Café in the city centre near the city centre near the city centre near the Rainbow Vegetarian Café . it is not family friendly . it is not family friendly . <end> 
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",near the Rainbow Vegetarian Café in the city centre near the city centre near the city centre near the Rainbow Vegetarian Café . it is not family friendly . it is not family friendly . <end> 
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",near the Rainbow Vegetarian Café in the city centre near the city centre near the city centre near the Rainbow Vegetarian Café . it is not family friendly . it is not family friendly . <end> 
